,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,,,
Date,SX5E Index,,,SPX Index,,,TPX Index,,,AEX Index,,,IBEX Index,,,UKX Index,,,USDEUR Curncy,,,JPYEUR Curncy,,,GBPEUR Curncy,,,LBEATREU Index,,,,INGEHIH LX Equity
1-Jan-11,2792.82,,1/1/2011,1257.64,,1/1/2011,898.8,,1/1/2011,354.57,,1/1/2011,9859.1,,1/1/2011,5899.94,,1/1/2011,0.748,,1/1/2011,0.92141,,1/1/2011,1.1665,,1/1/2011,181.6496,#REF!,,,7824.08
2-Jan-11,2792.82,,1/2/2011,1257.64,,1/2/2011,898.8,,1/2/2011,354.57,,1/2/2011,9859.1,,1/2/2011,5899.94,,1/2/2011,0.748,,1/2/2011,0.92141,,1/2/2011,1.1665,,1/2/2011,181.6496,0,,,7819.27
3-Jan-11,2839.43,,1/3/2011,1271.87,,1/3/2011,898.8,,1/3/2011,359.86,,1/3/2011,9888.3,,1/3/2011,5899.94,,1/3/2011,0.7476,,1/3/2011,0.91679,,1/3/2011,1.1585,,1/3/2011,182.2078,0.003068237,,,7817.37
4-Jan-11,2844.17,,1/4/2011,1270.2,,1/4/2011,911.8,,1/4/2011,358.86,,1/4/2011,9888.4,,1/4/2011,6013.87,,1/4/2011,0.7511,,1/4/2011,0.9181,,1/4/2011,1.1709,,1/4/2011,182.5373,0.001806742,,,7821.05
5-Jan-11,2833.74,,1/5/2011,1276.56,,1/5/2011,911.69,,1/5/2011,357.28,,1/5/2011,9801.4,,1/5/2011,6043.86,,1/5/2011,0.7584,,1/5/2011,0.91122,,1/5/2011,1.1755,,1/5/2011,182.0163,-0.002858292,,,7830.48
6-Jan-11,2836.23,,1/6/2011,1273.85,,1/6/2011,924.51,,1/6/2011,356.89,,1/6/2011,9702.7,,1/6/2011,6019.51,,1/6/2011,0.7675,,1/6/2011,0.92314,,1/6/2011,1.1894,,1/6/2011,181.7299,-0.001574725,,,7834.12
7-Jan-11,2808.25,,1/7/2011,1271.5,,1/7/2011,926.42,,1/7/2011,356.44,,1/7/2011,9560.7,,1/7/2011,5984.33,,1/7/2011,0.7736,,1/7/2011,0.93272,,1/7/2011,1.2028,,1/7/2011,181.8112,0.000447267,,,7832.08
8-Jan-11,2808.25,,1/8/2011,1271.5,,1/8/2011,926.42,,1/8/2011,356.44,,1/8/2011,9560.7,,1/8/2011,5984.33,,1/8/2011,0.7736,,1/8/2011,0.93272,,1/8/2011,1.2028,,1/8/2011,181.8112,0,,,7840.44
9-Jan-11,2808.25,,1/9/2011,1271.5,,1/9/2011,926.42,,1/9/2011,356.44,,1/9/2011,9560.7,,1/9/2011,5984.33,,1/9/2011,0.7736,,1/9/2011,0.93272,,1/9/2011,1.2028,,1/9/2011,181.8112,0,,,7841.68
10-Jan-11,2760.88,,1/10/2011,1269.75,,1/10/2011,926.42,,1/10/2011,354.21,,1/10/2011,9437.8,,1/10/2011,5956.3,,1/10/2011,0.7727,,1/10/2011,0.93386,,1/10/2011,1.2033,,1/10/2011,181.7581,-0.000292104,,,7839.64
11-Jan-11,2796.6,,1/11/2011,1274.48,,1/11/2011,926.94,,1/11/2011,358.3,,1/11/2011,9582.1,,1/11/2011,6014.03,,1/11/2011,0.7708,,1/11/2011,0.92508,,1/11/2011,1.2042,,1/11/2011,181.6014,-0.000862507,,,7830.41
12-Jan-11,2879.11,,1/12/2011,1285.96,,1/12/2011,929.64,,1/12/2011,362.41,,1/12/2011,10101.2,,1/12/2011,6050.72,,1/12/2011,0.7643,,1/12/2011,0.91913,,1/12/2011,1.2034,,1/12/2011,181.1282,-0.002609108,,,7822.85
13-Jan-11,2915.62,,1/13/2011,1283.76,,1/13/2011,937.74,,1/13/2011,360.79,,1/13/2011,10370.8,,1/13/2011,6023.88,,1/13/2011,0.7486,,1/13/2011,0.9052,,1/13/2011,1.1876,,1/13/2011,181.2886,0.000885169,,,7880.89
14-Jan-11,2920.4,,1/14/2011,1293.24,,1/14/2011,930.31,,1/14/2011,361.32,,1/14/2011,10385.1,,1/14/2011,6002.07,,1/14/2011,0.7492,,1/14/2011,0.90323,,1/14/2011,1.1898,,1/14/2011,181.3754,0.00047868,,,7806.04
15-Jan-11,2920.4,,1/15/2011,1293.24,,1/15/2011,930.31,,1/15/2011,361.32,,1/15/2011,10385.1,,1/15/2011,6002.07,,1/15/2011,0.7492,,1/15/2011,0.90323,,1/15/2011,1.1898,,1/15/2011,181.3754,0,,,7804.44
16-Jan-11,2920.4,,1/16/2011,1293.24,,1/16/2011,930.31,,1/16/2011,361.32,,1/16/2011,10385.1,,1/16/2011,6002.07,,1/16/2011,0.7492,,1/16/2011,0.90323,,1/16/2011,1.1898,,1/16/2011,181.3754,0,,,7803.48
17-Jan-11,2910.63,,1/17/2011,1293.24,,1/17/2011,928.73,,1/17/2011,361.08,,1/17/2011,10280,,1/17/2011,5985.7,,1/17/2011,0.7521,,1/17/2011,0.90934,,1/17/2011,1.1952,,1/17/2011,181.2828,-0.000510674,,,7798.69
18-Jan-11,2945.62,,1/18/2011,1295.02,,1/18/2011,931.58,,1/18/2011,363.73,,1/18/2011,10583.4,,1/18/2011,6056.43,,1/18/2011,0.7485,,1/18/2011,0.90438,,1/18/2011,1.1945,,1/18/2011,180.7349,-0.003026926,,,7796.65
19-Jan-11,2923.76,,1/19/2011,1281.92,,1/19/2011,936.87,,1/19/2011,357.96,,1/19/2011,10556.5,,1/19/2011,5976.7,,1/19/2011,0.7418,,1/19/2011,0.9054,,1/19/2011,1.1859,,1/19/2011,181.1692,0.002400084,,,7793.79
20-Jan-11,2927.42,,1/20/2011,1280.26,,1/20/2011,927.19,,1/20/2011,356.14,,1/20/2011,10636.9,,1/20/2011,5867.91,,1/20/2011,0.7426,,1/20/2011,0.89564,,1/20/2011,1.1803,,1/20/2011,180.6866,-0.002667362,,,7789.77
21-Jan-11,2970.56,,1/21/2011,1283.35,,1/21/2011,910.85,,1/21/2011,361.05,,1/21/2011,10829.1,,1/21/2011,5896.25,,1/21/2011,0.7361,,1/21/2011,0.88999,,1/21/2011,1.177,,1/21/2011,180.9718,0.001577179,,,7784.03
22-Jan-11,2970.56,,1/22/2011,1283.35,,1/22/2011,910.85,,1/22/2011,361.05,,1/22/2011,10829.1,,1/22/2011,5896.25,,1/22/2011,0.7361,,1/22/2011,0.88999,,1/22/2011,1.177,,1/22/2011,180.9718,0,,,7783.09
23-Jan-11,2970.56,,1/23/2011,1283.35,,1/23/2011,910.85,,1/23/2011,361.05,,1/23/2011,10829.1,,1/23/2011,5896.25,,1/23/2011,0.7361,,1/23/2011,0.88999,,1/23/2011,1.177,,1/23/2011,180.9718,0,,,7781.68
24-Jan-11,2979.06,,1/24/2011,1290.84,,1/24/2011,917.18,,1/24/2011,360.99,,1/24/2011,10815.4,,1/24/2011,5943.85,,1/24/2011,0.7329,,1/24/2011,0.88918,,1/24/2011,1.172,,1/24/2011,181.2209,0.001375511,,,7774.25
25-Jan-11,2957.78,,1/25/2011,1291.18,,1/25/2011,929.28,,1/25/2011,358.76,,1/25/2011,10664.4,,1/25/2011,5917.71,,1/25/2011,0.7329,,1/25/2011,0.88981,,1/25/2011,1.1593,,1/25/2011,181.0368,-0.001016404,,,7772.98
26-Jan-11,2967.78,,1/26/2011,1296.63,,1/26/2011,922.64,,1/26/2011,362.05,,1/26/2011,10670.7,,1/26/2011,5969.21,,1/26/2011,0.7309,,1/26/2011,0.88643,,1/26/2011,1.1602,,1/26/2011,180.5925,-0.002457214,,,7763.92
27-Jan-11,2989.75,,1/27/2011,1299.54,,1/27/2011,929.66,,1/27/2011,364.33,,1/27/2011,10828.7,,1/27/2011,5965.08,,1/27/2011,0.7298,,1/27/2011,0.88004,,1/27/2011,1.1613,,1/27/2011,180.1978,-0.002187975,,,7762.52
28-Jan-11,2954.13,,1/28/2011,1276.34,,1/28/2011,919.69,,1/28/2011,361.16,,1/28/2011,10747,,1/28/2011,5881.37,,1/28/2011,0.7345,,1/28/2011,0.89443,,1/28/2011,1.1639,,1/28/2011,180.471,0.001514964,,,7764.46
29-Jan-11,2954.13,,1/29/2011,1276.34,,1/29/2011,919.69,,1/29/2011,361.16,,1/29/2011,10747,,1/29/2011,5881.37,,1/29/2011,0.7345,,1/29/2011,0.89443,,1/29/2011,1.1639,,1/29/2011,180.471,0,,,7767.21
30-Jan-11,2954.13,,1/30/2011,1276.34,,1/30/2011,919.69,,1/30/2011,361.16,,1/30/2011,10747,,1/30/2011,5881.37,,1/30/2011,0.7345,,1/30/2011,0.89443,,1/30/2011,1.1639,,1/30/2011,180.471,0,,,7769.34
31-Jan-11,2953.63,,1/31/2011,1286.12,,1/31/2011,910.08,,1/31/2011,360.75,,1/31/2011,10806,,1/31/2011,5862.94,,1/31/2011,0.7301,,1/31/2011,0.89058,,1/31/2011,1.1704,,1/31/2011,180.7013,0.001275292,,,7775.32
1-Feb-11,3006.81,,2/1/2011,1307.59,,2/1/2011,913.52,,2/1/2011,367.11,,2/1/2011,10967.9,,2/1/2011,5957.82,,2/1/2011,0.7234,,2/1/2011,0.88891,,2/1/2011,1.1674,,2/1/2011,180.6466,-0.000302755,,,7767.77
2-Feb-11,3012.7,,2/2/2011,1304.03,,2/2/2011,929.64,,2/2/2011,367.39,,2/2/2011,11010.2,,2/2/2011,6000.07,,2/2/2011,0.7251,,2/2/2011,0.88785,,2/2/2011,1.1727,,2/2/2011,180.8979,0.001390147,,,7762.45
3-Feb-11,2995.49,,2/3/2011,1307.1,,2/3/2011,927.57,,2/3/2011,364.89,,2/3/2011,10860.7,,2/3/2011,5983.34,,2/3/2011,0.7324,,2/3/2011,0.89942,,2/3/2011,1.1833,,2/3/2011,181.095,0.001088972,,,7762.77
4-Feb-11,3003.19,,2/4/2011,1310.87,,2/4/2011,935.36,,2/4/2011,365.51,,2/4/2011,10854.7,,2/4/2011,5997.38,,2/4/2011,0.7361,,2/4/2011,0.89322,,2/4/2011,1.185,,2/4/2011,180.7193,-0.002076757,,,7761.9
5-Feb-11,3003.19,,2/5/2011,1310.87,,2/5/2011,935.36,,2/5/2011,365.51,,2/5/2011,10854.7,,2/5/2011,5997.38,,2/5/2011,0.7361,,2/5/2011,0.89322,,2/5/2011,1.185,,2/5/2011,180.7193,0,,,7752.89
6-Feb-11,3003.19,,2/6/2011,1310.87,,2/6/2011,935.36,,2/6/2011,365.51,,2/6/2011,10854.7,,2/6/2011,5997.38,,2/6/2011,0.7361,,2/6/2011,0.89322,,2/6/2011,1.185,,2/6/2011,180.7193,0,,,7748.53
7-Feb-11,3031.18,,2/7/2011,1319.05,,2/7/2011,940.43,,2/7/2011,369.85,,2/7/2011,10922.6,,2/7/2011,6051.03,,2/7/2011,0.7382,,2/7/2011,0.89562,,2/7/2011,1.1882,,2/7/2011,180.7984,0.0004376,,,7739.63
8-Feb-11,3042.5,,2/8/2011,1324.57,,2/8/2011,944,,2/8/2011,371.11,,2/8/2011,10965.1,,2/8/2011,6091.33,,2/8/2011,0.7318,,2/8/2011,0.89306,,2/8/2011,1.1781,,2/8/2011,180.4819,-0.001752103,,,7732.23
9-Feb-11,3031.62,,2/9/2011,1320.88,,2/9/2011,944.02,,2/9/2011,369.18,,2/9/2011,10935.6,,2/9/2011,6052.29,,2/9/2011,0.7294,,2/9/2011,0.8856,,2/9/2011,1.1743,,2/9/2011,180.1493,-0.001844544,,,7722.91
10-Feb-11,3025.68,,2/10/2011,1321.87,,2/10/2011,946.63,,2/10/2011,370.61,,2/10/2011,10791.9,,2/10/2011,6020.01,,2/10/2011,0.7339,,2/10/2011,0.88212,,2/10/2011,1.1831,,2/10/2011,180.2016,0.000290273,,,7716.39
11-Feb-11,3024.37,,2/11/2011,1329.15,,2/11/2011,946.63,,2/11/2011,369.65,,2/11/2011,10803.6,,2/11/2011,6062.9,,2/11/2011,0.7397,,2/11/2011,0.88539,,2/11/2011,1.1836,,2/11/2011,180.4863,0.00157865,,,7713.47
12-Feb-11,3024.37,,2/12/2011,1329.15,,2/12/2011,946.63,,2/12/2011,369.65,,2/12/2011,10803.6,,2/12/2011,6062.9,,2/12/2011,0.7397,,2/12/2011,0.88539,,2/12/2011,1.1836,,2/12/2011,180.4863,0,,,7708.88
13-Feb-11,3024.37,,2/13/2011,1329.15,,2/13/2011,946.63,,2/13/2011,369.65,,2/13/2011,10803.6,,2/13/2011,6062.9,,2/13/2011,0.7397,,2/13/2011,0.88539,,2/13/2011,1.1836,,2/13/2011,180.4863,0,,,7714.01
14-Feb-11,3018.38,,2/14/2011,1332.32,,2/14/2011,959.19,,2/14/2011,370.17,,2/14/2011,10774.7,,2/14/2011,6060.09,,2/14/2011,0.741,,2/14/2011,0.88992,,2/14/2011,1.1878,,2/14/2011,180.3034,-0.001013887,,,7710.49
15-Feb-11,3030.46,,2/15/2011,1328.01,,2/15/2011,962.57,,2/15/2011,370.51,,2/15/2011,10826.2,,2/15/2011,6037.08,,2/15/2011,0.7397,,2/15/2011,0.8834,,2/15/2011,1.1941,,2/15/2011,180.3565,0.00029446,,,7706.8
16-Feb-11,3061.92,,2/16/2011,1336.32,,2/16/2011,967.3,,2/16/2011,371.49,,2/16/2011,11047.8,,2/16/2011,6085.27,,2/16/2011,0.7382,,2/16/2011,0.8819,,2/16/2011,1.1858,,2/16/2011,180.7587,0.002227545,,,7706.99
17-Feb-11,3064.54,,2/17/2011,1340.43,,2/17/2011,974.14,,2/17/2011,372.99,,2/17/2011,11113,,2/17/2011,6087.38,,2/17/2011,0.7356,,2/17/2011,0.88324,,2/17/2011,1.189,,2/17/2011,181.268,0.002813606,,,7701.78
18-Feb-11,3068,,2/18/2011,1343.01,,2/18/2011,973.6,,2/18/2011,374.19,,2/18/2011,11068.1,,2/18/2011,6082.99,,2/18/2011,0.7315,,2/18/2011,0.87977,,2/18/2011,1.1874,,2/18/2011,180.7356,-0.002941409,,,7691.51
19-Feb-11,3068,,2/19/2011,1343.01,,2/19/2011,973.6,,2/19/2011,374.19,,2/19/2011,11068.1,,2/19/2011,6082.99,,2/19/2011,0.7315,,2/19/2011,0.87977,,2/19/2011,1.1874,,2/19/2011,180.7356,0,,,7681.66
20-Feb-11,3068,,2/20/2011,1343.01,,2/20/2011,973.6,,2/20/2011,374.19,,2/20/2011,11068.1,,2/20/2011,6082.99,,2/20/2011,0.7315,,2/20/2011,0.87977,,2/20/2011,1.1874,,2/20/2011,180.7356,0,,,7697.66
21-Feb-11,3012.34,,2/21/2011,1343.01,,2/21/2011,974.63,,2/21/2011,370.92,,2/21/2011,10810.5,,2/21/2011,6014.8,,2/21/2011,0.731,,2/21/2011,0.87958,,2/21/2011,1.1855,,2/21/2011,181.1532,0.002307892,,,7698.92
22-Feb-11,2983.33,,2/22/2011,1315.44,,2/22/2011,956.7,,2/22/2011,368.83,,2/22/2011,10701.9,,2/22/2011,5996.76,,2/22/2011,0.7321,,2/22/2011,0.88541,,2/22/2011,1.181,,2/22/2011,181.2459,0.000511591,,,7709.75
23-Feb-11,2954.92,,2/23/2011,1307.4,,2/23/2011,946.88,,2/23/2011,365.24,,2/23/2011,10633.4,,2/23/2011,5923.53,,2/23/2011,0.7272,,2/23/2011,0.8833,,2/23/2011,1.1786,,2/23/2011,181.2093,-0.000201956,,,7710.29
24-Feb-11,2949.13,,2/24/2011,1306.1,,2/24/2011,934.22,,2/24/2011,363.73,,2/24/2011,10647.6,,2/24/2011,5919.98,,2/24/2011,0.7253,,2/24/2011,0.88702,,2/24/2011,1.1695,,2/24/2011,181.2135,2.32E-05,,,7705.43
25-Feb-11,2985.02,,2/25/2011,1319.88,,2/25/2011,941.93,,2/25/2011,366.77,,2/25/2011,10822.7,,2/25/2011,6001.2,,2/25/2011,0.7268,,2/25/2011,0.8887,,2/25/2011,1.17,,2/25/2011,181.156,-0.000317356,,,7700.47
26-Feb-11,2985.02,,2/26/2011,1319.88,,2/26/2011,941.93,,2/26/2011,366.77,,2/26/2011,10822.7,,2/26/2011,6001.2,,2/26/2011,0.7268,,2/26/2011,0.8887,,2/26/2011,1.17,,2/26/2011,181.156,0,,,7690.82
27-Feb-11,2985.02,,2/27/2011,1319.88,,2/27/2011,941.93,,2/27/2011,366.77,,2/27/2011,10822.7,,2/27/2011,6001.2,,2/27/2011,0.7268,,2/27/2011,0.8887,,2/27/2011,1.17,,2/27/2011,181.156,0,,,7682.18
28-Feb-11,3013.09,,2/28/2011,1327.22,,2/28/2011,951.27,,2/28/2011,369.13,,2/28/2011,10850.8,,2/28/2011,5994.01,,2/28/2011,0.725,,2/28/2011,0.88585,,2/28/2011,1.1782,,2/28/2011,181.1368,-0.000105992,,,7671.68
1-Mar-11,2983.27,,3/1/2011,1306.33,,3/1/2011,963.7,,3/1/2011,367.95,,3/1/2011,10761.9,,3/1/2011,5935.76,,3/1/2011,0.7244,,3/1/2011,0.88479,,3/1/2011,1.179,,3/1/2011,181.1538,9.38E-05,,,7672.69
2-Mar-11,2958.8,,3/2/2011,1308.44,,3/2/2011,942.87,,3/2/2011,364.86,,3/2/2011,10643.8,,3/2/2011,5914.89,,3/2/2011,0.7211,,3/2/2011,0.88312,,3/2/2011,1.1771,,3/2/2011,181.0379,-0.000639993,,,7660.96
3-Mar-11,2969.24,,3/3/2011,1330.97,,3/3/2011,948.69,,3/3/2011,367.6,,3/3/2011,10566.9,,3/3/2011,6005.09,,3/3/2011,0.7176,,3/3/2011,0.87008,,3/3/2011,1.1668,,3/3/2011,180.0688,-0.005367402,,,7656.82
4-Mar-11,2949.18,,3/4/2011,1321.15,,3/4/2011,955.59,,3/4/2011,367.95,,3/4/2011,10498.7,,3/4/2011,5990.39,,3/4/2011,0.7156,,3/4/2011,0.86921,,3/4/2011,1.1625,,3/4/2011,180.2262,0.000873729,,,7651.33
5-Mar-11,2949.18,,3/5/2011,1321.15,,3/5/2011,955.59,,3/5/2011,367.95,,3/5/2011,10498.7,,3/5/2011,5990.39,,3/5/2011,0.7156,,3/5/2011,0.86921,,3/5/2011,1.1625,,3/5/2011,180.2262,0,,,7643.16
6-Mar-11,2949.18,,3/6/2011,1321.15,,3/6/2011,955.59,,3/6/2011,367.95,,3/6/2011,10498.7,,3/6/2011,5990.39,,3/6/2011,0.7156,,3/6/2011,0.86921,,3/6/2011,1.1625,,3/6/2011,180.2262,0,,,7631.91
7-Mar-11,2931.42,,3/7/2011,1310.13,,3/7/2011,941.63,,3/7/2011,366.08,,3/7/2011,10495.7,,3/7/2011,5973.78,,3/7/2011,0.7161,,3/7/2011,0.87159,,3/7/2011,1.1595,,3/7/2011,180.1749,-0.000284683,,,7619.54
8-Mar-11,2945.42,,3/8/2011,1321.82,,3/8/2011,939.16,,3/8/2011,366.38,,3/8/2011,10568.7,,3/8/2011,5974.76,,3/8/2011,0.719,,3/8/2011,0.86968,,3/8/2011,1.1615,,3/8/2011,179.9103,-0.001469652,,,7628.18
9-Mar-11,2935.11,,3/9/2011,1320.02,,3/9/2011,944.29,,3/9/2011,366.25,,3/9/2011,10559.5,,3/9/2011,5937.3,,3/9/2011,0.7194,,3/9/2011,0.86866,,3/9/2011,1.1653,,3/9/2011,179.952,0.000231755,,,7623.85
10-Mar-11,2909.73,,3/10/2011,1295.11,,3/10/2011,930.84,,3/10/2011,362.14,,3/10/2011,10435.6,,3/10/2011,5845.29,,3/10/2011,0.7236,,3/10/2011,0.87195,,3/10/2011,1.1619,,3/10/2011,180.3151,0.002015727,,,7619.55
11-Mar-11,2883.84,,3/11/2011,1304.28,,3/11/2011,915.51,,3/11/2011,359.07,,3/11/2011,10398.4,,3/11/2011,5828.67,,3/11/2011,0.7206,,3/11/2011,0.87973,,3/11/2011,1.1573,,3/11/2011,180.8292,0.002847063,,,7610.44
12-Mar-11,2883.84,,3/12/2011,1304.28,,3/12/2011,915.51,,3/12/2011,359.07,,3/12/2011,10398.4,,3/12/2011,5828.67,,3/12/2011,0.7206,,3/12/2011,0.87973,,3/12/2011,1.1573,,3/12/2011,180.8292,0,,,7606.75
13-Mar-11,2883.84,,3/13/2011,1304.28,,3/13/2011,915.51,,3/13/2011,359.07,,3/13/2011,10398.4,,3/13/2011,5828.67,,3/13/2011,0.7206,,3/13/2011,0.87973,,3/13/2011,1.1573,,3/13/2011,180.8292,0,,,7607.22
14-Mar-11,2852.11,,3/14/2011,1296.39,,3/14/2011,846.96,,3/14/2011,356.32,,3/14/2011,10415.9,,3/14/2011,5775.24,,3/14/2011,0.7148,,3/14/2011,0.87549,,3/14/2011,1.156,,3/14/2011,181.1367,0.001699055,,,7603.43
15-Mar-11,2784.2,,3/15/2011,1281.87,,3/15/2011,766.73,,3/15/2011,348.09,,3/15/2011,10329.7,,3/15/2011,5695.28,,3/15/2011,0.7154,,3/15/2011,0.88413,,3/15/2011,1.1514,,3/15/2011,181.8363,0.003854837,,,7595.42
16-Mar-11,2721.24,,3/16/2011,1256.88,,3/16/2011,817.63,,3/16/2011,343.2,,3/16/2011,10092.6,,3/16/2011,5598.23,,3/16/2011,0.7198,,3/16/2011,0.89944,,3/16/2011,1.1515,,3/16/2011,182.3034,0.0025655,,,7581.51
17-Mar-11,2786.16,,3/17/2011,1273.72,,3/17/2011,810.8,,3/17/2011,349.26,,3/17/2011,10325.6,,3/17/2011,5696.11,,3/17/2011,0.7137,,3/17/2011,0.90305,,3/17/2011,1.1512,,3/17/2011,181.4754,-0.004552225,,,7573.2
18-Mar-11,2792.61,,3/18/2011,1279.2,,3/18/2011,830.39,,3/18/2011,350.41,,3/18/2011,10328.4,,3/18/2011,5718.13,,3/18/2011,0.7058,,3/18/2011,0.87274,,3/18/2011,1.1463,,3/18/2011,181.426,-0.00027225,,,7564.26
19-Mar-11,2792.61,,3/19/2011,1279.2,,3/19/2011,830.39,,3/19/2011,350.41,,3/19/2011,10328.4,,3/19/2011,5718.13,,3/19/2011,0.7058,,3/19/2011,0.87274,,3/19/2011,1.1463,,3/19/2011,181.426,0,,,7555.12
20-Mar-11,2792.61,,3/20/2011,1279.2,,3/20/2011,830.39,,3/20/2011,350.41,,3/20/2011,10328.4,,3/20/2011,5718.13,,3/20/2011,0.7058,,3/20/2011,0.87274,,3/20/2011,1.1463,,3/20/2011,181.426,0,,,7561.76
21-Mar-11,2860.81,,3/21/2011,1298.38,,3/21/2011,830.39,,3/21/2011,356.7,,3/21/2011,10574.4,,3/21/2011,5786.09,,3/21/2011,0.7031,,3/21/2011,0.86782,,3/21/2011,1.1465,,3/21/2011,181.0853,-0.001879666,,,7560.41
22-Mar-11,2854.79,,3/22/2011,1293.77,,3/22/2011,868.13,,3/22/2011,356.38,,3/22/2011,10576.1,,3/22/2011,5762.71,,3/22/2011,0.7034,,3/22/2011,0.86886,,3/22/2011,1.1522,,3/22/2011,180.9181,-0.000923748,,,7565.73
23-Mar-11,2866.23,,3/23/2011,1297.54,,3/23/2011,861.1,,3/23/2011,359.74,,3/23/2011,10638,,3/23/2011,5795.88,,3/23/2011,0.7079,,3/23/2011,0.87584,,3/23/2011,1.1502,,3/23/2011,181.0818,0.00090442,,,7575.05
24-Mar-11,2909.78,,3/24/2011,1309.66,,3/24/2011,853.95,,3/24/2011,363.39,,3/24/2011,10755.6,,3/24/2011,5880.87,,3/24/2011,0.7048,,3/24/2011,0.87122,,3/24/2011,1.1364,,3/24/2011,180.9725,-0.000603777,,,7574.17
25-Mar-11,2911.33,,3/25/2011,1313.8,,3/25/2011,857.38,,3/25/2011,364.65,,3/25/2011,10710.4,,3/25/2011,5900.76,,3/25/2011,0.7104,,3/25/2011,0.87274,,3/25/2011,1.1384,,3/25/2011,180.8613,-0.000614647,,,7568.16
26-Mar-11,2911.33,,3/26/2011,1313.8,,3/26/2011,857.38,,3/26/2011,364.65,,3/26/2011,10710.4,,3/26/2011,5900.76,,3/26/2011,0.7104,,3/26/2011,0.87274,,3/26/2011,1.1384,,3/26/2011,180.8613,0,,,7581.55
27-Mar-11,2911.33,,3/27/2011,1313.8,,3/27/2011,857.38,,3/27/2011,364.65,,3/27/2011,10710.4,,3/27/2011,5900.76,,3/27/2011,0.7104,,3/27/2011,0.87274,,3/27/2011,1.1384,,3/27/2011,180.8613,0,,,7604.98
28-Mar-11,2914.76,,3/28/2011,1310.19,,3/28/2011,857.85,,3/28/2011,364.57,,3/28/2011,10751,,3/28/2011,5904.49,,3/28/2011,0.7093,,3/28/2011,0.86788,,3/28/2011,1.1361,,3/28/2011,180.6115,-0.001382124,,,7608.99
29-Mar-11,2910.93,,3/29/2011,1319.44,,3/29/2011,850.21,,3/29/2011,365.91,,3/29/2011,10735,,3/29/2011,5932.17,,3/29/2011,0.7101,,3/29/2011,0.86149,,3/29/2011,1.1348,,3/29/2011,180.469,-0.000789298,,,7610.83
30-Mar-11,2936.44,,3/30/2011,1328.26,,3/30/2011,866.09,,3/30/2011,367.87,,3/30/2011,10732.3,,3/30/2011,5948.3,,3/30/2011,0.7079,,3/30/2011,0.85497,,3/30/2011,1.1364,,3/30/2011,180.4802,6.21E-05,,,7605.9
31-Mar-11,2910.91,,3/31/2011,1325.83,,3/31/2011,869.38,,3/31/2011,365.62,,3/31/2011,10576.5,,3/31/2011,5908.76,,3/31/2011,0.7047,,3/31/2011,0.8511,,3/31/2011,1.132,,3/31/2011,180.1717,-0.001710791,,,7599.04
1-Apr-11,2962.92,,4/1/2011,1332.41,,4/1/2011,862.62,,4/1/2011,369.45,,4/1/2011,10729.9,,4/1/2011,6009.92,,4/1/2011,0.7035,,4/1/2011,0.83547,,4/1/2011,1.1335,,4/1/2011,180.0157,-0.000866216,,,7597.56
2-Apr-11,2962.92,,4/2/2011,1332.41,,4/2/2011,862.62,,4/2/2011,369.45,,4/2/2011,10729.9,,4/2/2011,6009.92,,4/2/2011,0.7035,,4/2/2011,0.83547,,4/2/2011,1.1335,,4/2/2011,180.0157,0,,,7589.25
3-Apr-11,2962.92,,4/3/2011,1332.41,,4/3/2011,862.62,,4/3/2011,369.45,,4/3/2011,10729.9,,4/3/2011,6009.92,,4/3/2011,0.7035,,4/3/2011,0.83547,,4/3/2011,1.1335,,4/3/2011,180.0157,0,,,7584.16
4-Apr-11,2955.84,,4/4/2011,1332.87,,4/4/2011,859.75,,4/4/2011,369.01,,4/4/2011,10756.1,,4/4/2011,6016.98,,4/4/2011,0.7034,,4/4/2011,0.83762,,4/4/2011,1.1339,,4/4/2011,180.3451,0.001828168,,,7588.73
5-Apr-11,2950.96,,4/5/2011,1332.63,,4/5/2011,847.16,,4/5/2011,368.96,,4/5/2011,10678.6,,4/5/2011,6007.06,,4/5/2011,0.7031,,4/5/2011,0.83078,,4/5/2011,1.1447,,4/5/2011,180.186,-0.000882587,,,7582.93
6-Apr-11,2971.48,,4/6/2011,1335.54,,4/6/2011,839.61,,4/6/2011,369.64,,4/6/2011,10845.1,,4/6/2011,6041.13,,4/6/2011,0.6981,,4/6/2011,0.81819,,4/6/2011,1.1391,,4/6/2011,180.2188,0.000182018,,,7568.37
7-Apr-11,2963.69,,4/7/2011,1333.51,,4/7/2011,841.1,,4/7/2011,367.39,,4/7/2011,10849.1,,4/7/2011,6007.37,,4/7/2011,0.6994,,4/7/2011,0.82281,,4/7/2011,1.141,,4/7/2011,180.2676,0.000270745,,,7566.04
8-Apr-11,2984.66,,4/8/2011,1328.17,,4/8/2011,853.13,,4/8/2011,366.94,,4/8/2011,10913.2,,4/8/2011,6055.75,,4/8/2011,0.6934,,4/8/2011,0.81584,,4/8/2011,1.1335,,4/8/2011,179.7871,-0.00266904,,,7562.15
