SX5E Index,,TPX Index,,UKX Index,,IBEX Index,,SPX Index,,LBEATREU Index,,AEX Index,,INGEHIH LX Equity,,INGGOPC LX Equity,,INGEHYC LX Equity,,SGEURSE LX Equity,,SGIDXIW LX Equity,
41576,3050.64,41565,1205.52,41572,6721.34,41575,9736.2,41572,1759.77,41572,212.4839,41575,388.8,41576,7386.06,41572,307.89,41575,406.59,41571,1017.27301,41435,1220.29
41575,3022.04,41564,1206.25,41571,6713.18,41572,9815.5,41571,1752.07,41571,212.5347,41572,389.19,41575,7376.97,41571,308.56,41572,407.38,41570,1011.80902,41432,1220.55
41572,3034.5,41563,1196.78,41570,6674.48,41571,9915.4,41570,1746.38,41570,212.6115,41571,390.21,41572,7366.17,41570,306.81,41571,407.59,41569,1020.638,41431,1205.24
41571,3038.96,41562,1197.47,41569,6695.66,41570,9828.3,41569,1754.67,41569,212.3752,41570,388.56,41571,7364.62,41569,308.89,41570,405.6,41568,1016.06403,41430,1194.71
41570,3017.16,41558,1197.17,41568,6654.2,41569,10012.9,41568,1744.66,41568,211.6846,41569,390.19,41570,7365.43,41568,308.99,41569,409.48,41565,1015.242,41429,1211.18
41569,3045.77,41557,1177.95,41565,6622.58,41568,10037.8,41565,1744.5,41565,211.7193,41568,388.28,41569,7361.38,41565,307.86,41568,409.2,41564,1006.39203,41428,1217.81
41568,3028.65,41556,1166.9,41564,6576.16,41565,10001.8,41564,1733.15,41564,211.3407,41565,385.73,41568,7355.21,41564,305.48,41565,408.85,41563,1007.651,41425,1210.6
41565,3033.31,41555,1150.13,41563,6571.59,41564,9918,41563,1721.54,41563,210.7979,41564,382.51,41565,7346.06,41563,306.73,41564,406.27,41562,1003.78101,41424,1228.32
41564,3010.39,41554,1147.58,41562,6549.11,41563,9879,41562,1698.06,41562,210.9618,41563,383.33,41564,7336.34,41562,305.24,41563,406.66,41561,994.4494,41423,1223.71
41563,3015.4,41551,1163.82,41561,6507.65,41562,9805.3,41561,1710.14,41561,211.2192,41562,381.95,41563,7328.03,41561,304.53,41562,403.93,41558,993.88049,41422,1232.22
41562,3004.56,41550,1173.99,41558,6487.19,41561,9696,41558,1703.2,41558,211.1085,41561,376.27,41562,7326.46,41558,304.22,41561,399.38,41557,991.61517,41418,1224.48
41561,2977.69,41549,1175.16,41557,6430.49,41558,9668.5,41557,1692.56,41557,210.8548,41558,376.11,41561,7314.13,41557,303.69,41558,398.04,41556,972.0224,41417,1225.24
41558,2974.28,41548,1193.44,41556,6337.91,41557,9660.5,41556,1656.4,41556,211.0482,41557,373.91,41558,7301.81,41556,299.58,41557,397.76,41555,973.2702,41416,1228.73
41557,2969.41,41547,1194.1,41555,6365.83,41556,9439,41555,1655.45,41555,211.0619,41556,367.19,41557,7297.57,41555,299.63,41556,390.2,41554,978.86517,41415,1238.86
41556,2904.73,41544,1217.52,41554,6437.28,41555,9318.9,41554,1676.12,41554,211.2903,41555,370.98,41556,7290.18,41554,302.63,41555,389.37,41551,980.82123,41411,1237.65
41555,2903.35,41543,1220.49,41551,6453.88,41554,9381.9,41551,1690.5,41551,210.9493,41554,373.75,41555,7286.99,41551,303.86,41554,390.85,41550,974.24597,41410,1224.94
41554,2923.04,41542,1211.15,41550,6449.04,41551,9420.9,41550,1678.66,41550,210.999,41551,376.03,41554,7280.36,41550,302.44,41551,391.28,41549,978.95721,41409,1231.09
41551,2928.31,41541,1214.87,41549,6437.5,41550,9295.7,41549,1693.87,41549,211.1545,41550,374.83,41551,7276.8,41549,303.82,41550,388.16,41548,983.70032,41408,1224.15
41550,2902.12,41537,1218.98,41548,6460.01,41549,9350,41548,1695,41548,211.0616,41549,376.17,41550,7267.3,41548,304.8,41549,389.96,41547,971.10468,41407,1211.66
41549,2918.31,41536,1215.48,41547,6462.22,41548,9341.5,41547,1681.55,41547,210.8898,41548,377.63,41549,7262.56,41547,303.33,41548,389.68,41544,978.6795,41404,1211.56
41548,2933.02,41535,1193.07,41544,6512.66,41547,9186.1,41544,1691.75,41544,210.7663,41547,374.92,41548,7257.02,41544,305.3,41547,384.59,41543,980.47711,41402,1210.26
41547,2893.15,41534,1181.64,41543,6565.59,41544,9228.4,41543,1698.67,41543,210.6054,41544,375.77,41547,7249.72,41543,306.95,41544,387.39,41542,981.77972,41401,1204.97
41544,2919.34,41530,1185.28,41542,6551.53,41543,9272.4,41542,1692.77,41542,210.8627,41543,377.95,41544,7256.67,41542,306.39,41543,387.84,41541,981.26862,41400,1198.8
41543,2922.99,41529,1184.36,41541,6571.46,41542,9242.9,41541,1697.42,41541,210.6985,41542,379.6,41543,7254.11,41541,305.82,41542,387.41,41540,976.6355,41397,1196.4
41542,2927.35,41528,1189.25,41540,6557.37,41541,9167.6,41540,1701.84,41540,210.1973,41541,380.67,41542,7251.53,41540,306.67,41541,387.37,41537,982.64221,41396,1183.92
41541,2922.93,41527,1190.22,41537,6596.43,41540,9109.5,41537,1709.91,41537,209.8064,41540,379.55,41541,7251,41537,307.96,41540,385.1,41536,983.90179,41394,1183.78
41540,2906.35,41526,1173,41536,6625.39,41537,9171.8,41536,1722.34,41536,209.9432,41537,382.07,41540,7255.5,41536,309.54,41537,387.31,41535,976.91968,41393,1180.9
41537,2927.19,41523,1147.82,41535,6558.82,41536,9153.7,41535,1725.52,41535,209.2032,41536,382.58,41537,7250.41,41535,310.85,41536,387.02,41534,971.46393,41390,1172.44
41536,2936.2,41522,1157.84,41534,6570.17,41535,9062.5,41534,1704.76,41534,209.3507,41535,380.92,41536,7247.7,41534,307.45,41535,384.51,41533,973.22168,41389,1174.66
41535,2908.92,41521,1156.3,41533,6622.86,41534,8992,41533,1697.6,41533,209.3854,41534,379.81,41535,7229.02,41533,308.03,41534,383.43,41530,964.12469,41388,1169.91
41534,2890.95,41520,1149.18,41530,6583.8,41533,8999.5,41530,1687.99,41530,208.8406,41533,379.89,41534,7222.7,41530,306.64,41533,383.74,41529,962.48657,41387,1169.78
41533,2894.64,41519,1117.78,41529,6588.98,41530,8941.6,41529,1683.42,41529,208.7472,41530,376.84,41533,7220.41,41529,305.44,41530,381.8,41528,962.93469,41386,1157.64
41530,2867.11,41516,1106.05,41528,6588.43,41529,8924.2,41528,1689.13,41528,208.3881,41529,376.66,41530,7210.29,41528,306.17,41529,382.07,41527,959.1228,41383,1152.28
41529,2862.07,41515,1116.51,41527,6583.99,41528,8875.2,41527,1683.99,41527,208.0271,41528,375.05,41529,7212.4,41527,306.43,41528,379.67,41526,942.79492,41382,1142.16
41528,2863.44,41514,1114.03,41526,6530.74,41527,8801.6,41526,1671.71,41526,208.5649,41527,376.31,41528,7200.97,41526,303.17,41527,377.25,41523,942.68378,41381,1149.86
41527,2851.4,41513,1134.02,41523,6547.33,41526,8632.5,41523,1655.17,41523,208.6613,41526,369.78,41527,7196.3,41523,302.23,41526,371.11,41522,935.95117,41380,1166.59
41526,2798.31,41512,1140,41522,6532.44,41523,8655,41522,1655.08,41522,207.9358,41523,371.04,41526,7190.03,41522,302.42,41523,371.14,41521,929.7157,41379,1150.06
41523,2803.42,41509,1141.63,41521,6474.74,41522,8550,41521,1653.08,41521,208.872,41522,369.95,41523,7183.52,41521,299.56,41522,368.02,41520,928.87958,41376,1177.18
41522,2774.2,41508,1119.56,41520,6468.41,41521,8490.3,41520,1639.77,41520,208.9256,41521,368.26,41522,7184.16,41520,298.43,41521,365.53,41519,932.35028,41375,1180.53
41521,2758.29,41507,1121.74,41519,6506.19,41520,8445.2,41516,1632.97,41519,209.1993,41520,367.09,41521,7182.07,41519,297.08,41520,364.66,41516,916.29401,41374,1176.37
41520,2753.35,41506,1125.27,41516,6412.93,41519,8429.6,41515,1638.17,41516,209.3474,41519,369.26,41520,7180.76,41516,295.37,41519,365.76,41515,927.52338,41373,1162.21
41519,2774.09,41505,1149.13,41515,6483.05,41516,8290.5,41514,1634.96,41515,209.3161,41516,362.93,41519,7173.62,41515,295.71,41516,360.46,41514,921.54791,41372,1158.25
41516,2721.37,41502,1142.65,41514,6430.06,41515,8432.1,41513,1630.48,41514,209.2051,41515,367.13,41516,7167.21,41514,292.01,41515,363.92,41513,925.08472,41369,1150.73
41515,2758.31,41501,1151.82,41513,6440.97,41514,8398.1,41512,1656.78,41513,209.327,41514,364.47,41515,7162.05,41513,291.64,41514,361.83,41512,947.85718,41368,1155.98
41514,2742.61,41500,1171.34,41509,6492.1,41513,8394,41509,1663.5,41509,209.009,41513,364.87,41514,7154.84,41512,297.75,41513,360.89,41509,950.36469,41367,1151.28
41513,2749.27,41499,1157.15,41508,6446.87,41512,8649.9,41508,1656.96,41508,209.1512,41512,373.49,41513,7161.25,41509,297.37,41512,368.93,41508,946.61572,41366,1163.45
41512,2821.45,41498,1134.62,41507,6390.84,41509,8686.8,41507,1642.8,41507,209.3024,41509,374.67,41512,7164.4,41508,296.59,41509,370.68,41507,933.96338,41361,1162.66
41509,2826.05,41495,1140.91,41506,6453.46,41508,8629.7,41506,1652.35,41506,209.7151,41508,371.94,41509,7161.24,41507,294.24,41508,368.84,41506,937.04077,41360,1158.04
41508,2812.32,41494,1139.59,41505,6465.73,41507,8461.8,41505,1646.06,41505,209.5083,41507,367.51,41508,7158.6,41506,295.65,41507,363.81,41505,948.29633,41359,1158.64
41507,2774.58,41493,1155.26,41502,6499.99,41506,8502.4,41502,1655.83,41502,209.8836,41506,368.93,41507,7161.51,41505,298.09,41506,365.28,41502,956.64368,41358,1149.38
41506,2787.98,41492,1193.66,41501,6483.34,41505,8657.1,41501,1661.32,41501,209.5791,41505,373.8,41506,7163.92,41502,300.73,41505,370.32,41500,957.70782,41355,1153.25
41505,2823.35,41491,1184.74,41500,6587.43,41502,8821.3,41500,1685.39,41500,210.3066,41502,374.75,41505,7174.82,41501,303.17,41502,374.31,41499,953.80847,41354,1145.14
41502,2854.27,41488,1196.17,41499,6611.94,41501,8737.6,41499,1694.16,41499,210.1436,41501,375.58,41502,7180.47,41500,304.94,41501,371.39,41498,948.995,41353,1154.68
41501,2835.86,41487,1163.39,41498,6574.34,41500,8789.3,41498,1689.47,41498,211.0338,41500,379.62,41501,7186.35,41499,305.06,41500,373.55,41495,948.04828,41352,1146.97
41500,2852.08,41486,1131.7,41495,6583.39,41499,8758.5,41495,1691.42,41495,210.9535,41499,377.64,41500,7190.69,41498,302.41,41499,372.47,41494,943.8576,41351,1149.85
41499,2841.61,41485,1148.53,41494,6529.68,41498,8717.7,41494,1697.48,41494,210.8833,41498,375.61,41499,7189.64,41495,300.2,41498,370.48,41493,935.2572,41348,1156.2
41498,2827.15,41484,1128.45,41493,6511.21,41495,8735.5,41493,1690.91,41493,210.6794,41495,375.4,41498,7182.13,41494,298.64,41495,370.1,41492,935.29102,41347,1158.16
41495,2825.62,41481,1167.06,41492,6604.21,41494,8671.8,41492,1697.37,41492,210.5523,41494,372.14,41495,7176.77,41493,297.37,41494,367.77,41491,940.75488,41346,1151.64
41494,2816.88,41480,1202.32,41491,6619.58,41493,8574.1,41491,1707.14,41491,210.4986,41493,369.61,41494,7172.73,41492,298.18,41493,363.83,41488,940.40918,41345,1149.85
41493,2794.44,41479,1219.92,41488,6647.87,41492,8529.5,41488,1709.67,41488,210.7461,41492,371.38,41493,7169.62,41491,301.4,41492,362.09,41487,939.39722,41344,1152.6
41492,2790.78,41478,1222.72,41487,6681.98,41491,8560.8,41487,1706.87,41487,210.4752,41491,372.52,41492,7170.69,41488,301.49,41491,365.25,41486,925.2373,41341,1148.81
41491,2809.08,41477,1216.53,41486,6621.06,41488,8574,41486,1685.73,41486,210.2639,41488,371.34,41491,7163.67,41487,301.2,41488,364.6,41485,923.5968,41340,1143.67
41488,2811,41474,1211.98,41485,6570.95,41487,8540.2,41485,1685.96,41485,210.1556,41487,372.39,41488,7158.16,41486,296.73,41487,364.26,41484,918.70081,41339,1141.69
41487,2808.64,41473,1222.01,41484,6560.25,41486,8433.4,41484,1685.33,41484,210.0612,41486,369.81,41487,7156.34,41485,298.03,41486,359.27,41481,918.55121,41338,1140.2
41486,2768.15,41472,1213.24,41481,6554.79,41485,8456.5,41481,1691.65,41481,210.0941,41485,368.99,41486,7142.82,41484,298.91,41485,360.72,41480,919.42468,41337,1129.35
41485,2759.21,41471,1210.54,41480,6587.95,41484,8376.1,41480,1690.25,41480,210.0519,41484,368.33,41485,7137.34,41481,300.14,41484,361.11,41479,922.07678,41334,1124.23
41484,2741.73,41467,1201.99,41479,6620.43,41481,8353.6,41479,1685.94,41479,210.2109,41481,368.31,41484,7131,41480,301.04,41481,361.64,41478,912.72949,41333,1121.6
41481,2741.96,41466,1194.77,41478,6597.44,41480,8282.1,41478,1692.39,41478,210.6674,41480,370.36,41481,7128.31,41479,300.7,41480,360.87,41477,913.44421,41332,1122.55
41480,2740.29,41465,1195.2,41477,6623.17,41479,8192.5,41477,1695.53,41477,210.8895,41479,371.96,41480,7125.68,41478,301.48,41479,361.42,41474,911.96619,41331,1108.31
41479,2752.25,41464,1196.89,41474,6630.67,41478,8073.7,41474,1692.09,41474,210.7108,41478,368.72,41479,7134.92,41477,301.68,41478,358.19,41473,912.68262,41330,1101.58
41478,2722.9,41463,1172.58,41473,6634.36,41477,7966,41473,1689.37,41473,210.7276,41477,370.39,41478,7133.12,41474,301.72,41477,356.35,41472,901.30811,41327,1122.07
41477,2725.4,41460,1188.58,41472,6571.93,41474,7943.2,41472,1680.91,41472,210.4103,41474,369.76,41477,7119.45,41473,301.66,41474,355.37,41471,896.58051,41326,1112.2
41474,2716.17,41459,1170.71,41471,6556.35,41473,7957.3,41471,1676.26,41471,210.3618,41473,368.76,41474,7107.43,41472,299.74,41473,354.47,41470,902.54968,41325,1119.25
41473,2717.99,41458,1173.81,41470,6586.11,41472,7812.7,41470,1682.5,41470,210.1824,41472,366.06,41473,7096.07,41471,298.11,41472,349.69,41467,898.26343,41324,1133.29
41472,2681.88,41457,1171.84,41467,6544.94,41471,7798.2,41467,1680.19,41467,210.236,41471,364.12,41472,7083.44,41470,299.99,41471,348.4,41466,900.8222,41320,1124.96
41471,2665.61,41456,1150.7,41466,6543.41,41470,7855.1,41466,1675.02,41466,209.8645,41470,366.77,41471,7078.97,41467,298.82,41470,349.88,41465,894.32172,41319,1126.07
41470,2686.69,41453,1133.84,41465,6504.96,41467,7844.7,41465,1652.62,41465,209.8815,41467,364.95,41470,7069.43,41466,298.96,41467,348.04,41464,894.55829,41318,1125.2
41467,2674.87,41452,1098.83,41464,6513.08,41466,8030.7,41464,1652.32,41464,210.1656,41466,364.05,41467,7063.4,41465,297.06,41466,349.6,41463,888.3949,41317,1124.23
41466,2681.32,41451,1069.28,41463,6450.07,41465,7995,41463,1640.46,41463,209.8835,41465,362.04,41466,7064.09,41464,296.9,41465,347.23,41460,872.82428,41316,1122.4
41465,2659.71,41450,1078.66,41460,6375.52,41464,8014.8,41460,1631.89,41460,209.5551,41464,360.11,41465,7044.31,41463,293.13,41464,347.89,41459,886.6944,41313,1123.02
41464,2664.14,41449,1089.64,41459,6421.67,41463,8017.6,41458,1615.41,41459,209.7316,41463,357.15,41464,7039.99,41460,293.84,41463,345.32,41458,863.86023,41312,1116.94
41463,2650.85,41446,1099.4,41458,6229.87,41460,7868.4,41457,1614.08,41458,209.2766,41460,352.53,41463,7014.6,41459,292.25,41460,340.05,41457,872.66803,41311,1118.48
41460,2596.01,41445,1091.81,41457,6303.94,41459,8002,41456,1614.96,41457,209.4402,41459,354.51,41460,6997.21,41458,289.62,41459,344.67,41456,875.89172,41310,1117.81
41459,2646.54,41444,1106.57,41456,6307.78,41458,7763.8,41453,1606.28,41456,209.1042,41458,345.82,41459,6982.64,41457,290.43,41458,335.91,41453,868.0708,41309,1106.29
41458,2570.76,41443,1086.4,41453,6215.47,41457,7886.6,41452,1613.2,41453,208.7923,41457,347.8,41458,6963.66,41456,292.06,41457,339.93,41452,873.29779,41306,1119.02
41457,2603.2,41442,1084.72,41452,6243.4,41456,7907.1,41451,1603.26,41452,208.6696,41456,347.37,41457,7003.64,41453,290.37,41456,341.24,41451,866.48682,41305,1108.07
41456,2622.62,41439,1056.45,41451,6165.48,41453,7762.7,41450,1588.03,41451,207.9949,41453,344.59,41456,6993.48,41452,289.76,41453,338.89,41450,849.81848,41304,1110.85
41453,2602.59,41438,1044.17,41450,6101.91,41452,7844.4,41449,1573.09,41450,207.0675,41452,344.75,41453,6981.44,41451,286.99,41452,341.49,41449,839.4989,41303,1115.19
41452,2619.86,41437,1096.54,41449,6029.1,41451,7823,41446,1592.43,41449,206.9537,41451,340.82,41452,6973.73,41450,282.8,41451,338.96,41446,853.5285,41302,1109.49
41451,2602.81,41436,1101.15,41446,6116.17,41450,7607.7,41445,1588.19,41446,208.408,41450,335.4,41451,6943.61,41449,280.98,41450,332.87,41445,865.78961,41299,1111.4
41450,2543.37,41435,1111.97,41445,6159.51,41449,7553.2,41444,1628.93,41445,208.9099,41449,332.25,41450,6917.46,41446,285.65,41449,329.42,41444,894.46832,41298,1105.59
41449,2511.83,41432,1056.95,41444,6348.82,41446,7700.2,41443,1651.81,41444,210.8456,41446,337.64,41449,6914.75,41445,285.81,41446,335.2,41443,898.6944,41297,1105.54
41446,2549.48,41431,1070.77,41443,6374.21,41445,7822.1,41442,1639.04,41443,210.6209,41445,341.88,41446,6970.92,41444,291.69,41445,339.76,41442,897.59509,41296,1103.91
41445,2586.45,41430,1090.03,41442,6330.49,41444,8098.3,41439,1626.73,41442,211.0003,41444,351.08,41445,6985.51,41443,293.91,41444,349.49,41439,888.62329,41292,1098.99
41444,2683.98,41429,1125.47,41439,6308.26,41443,8180.2,41438,1636.36,41439,210.968,41443,351.09,41444,7048.87,41442,293.35,41443,352.46,41438,885.22321,41291,1095.19
41443,2700.93,41428,1096.95,41438,6304.63,41442,8136.3,41437,1612.52,41438,210.3392,41442,350.81,41443,7045.9,41439,291.86,41442,352.2,41437,886.59631,41290,1089.1
41442,2702.69,41425,1135.78,41437,6299.45,41439,8070.9,41436,1626.13,41437,210.1511,41439,347.98,41442,7042.35,41438,292.85,41439,349.12,41436,891.54022,41289,1088.81
41439,2667.32,41424,1134.42,41436,6340.08,41438,8071.7,41435,1642.81,41436,210.0682,41438,347.23,41439,7014.21,41437,290.82,41438,347.46,41435,902.95459,41288,1087.57
41438,2661.71,41423,1178.87,41435,6400.45,41437,8123.8,41432,1643.38,41435,210.5516,41437,347.68,41438,6986.4,41436,292.83,41437,346.43,41432,903.25452,41285,1088.54
41437,2666.52,41422,1168.27,41432,6411.99,41436,8089.3,41431,1622.56,41432,210.9851,41436,350.3,41437,7013.72,41435,298.31,41436,349.32,41431,890.61829,41284,1088.61
41436,2683.2,41421,1154.07,41431,6336.11,41435,8227.4,41430,1608.9,41431,210.8451,41435,352.86,41436,7008.91,41432,298.64,41435,353.82,41430,900.1535,41283,1080.55
41435,2719.4,41418,1194.08,41430,6419.31,41432,8266.6,41429,1631.38,41430,211.799,41432,352.69,41435,7057.25,41431,296.25,41432,354.79,41429,913.38782,41282,1077.85
41432,2724.08,41417,1188.34,41429,6558.58,41431,8216.7,41428,1640.42,41429,211.709,41431,349.58,41432,7049.62,41430,297.57,41431,350.26,41428,911.25873,41281,1081.11
41431,2676.21,41416,1276.03,41428,6525.12,41430,8290.7,41425,1630.74,41428,211.7506,41430,353.06,41431,7048.07,41429,301.74,41430,354.21,41425,917.80719,41278,1084.54
41430,2709.33,41415,1270.39,41425,6583.09,41429,8363,41424,1654.41,41425,211.983,41429,360.42,41430,7085.71,41428,302.83,41429,358.73,41424,926.52173,41277,1079.29
41429,2755.7,41414,1269.51,41424,6656.99,41428,8284.4,41423,1648.36,41424,212.0531,41428,361.07,41429,7113.67,41425,304.84,41428,357.92,41423,922.64429,41276,1081.28
41428,2747.74,41411,1253.24,41423,6627.17,41425,8320.6,41422,1660.06,41423,211.9447,41425,363.38,41428,7103.06,41424,306.67,41425,360.35,41422,937.46057,41274,1054.54
41425,2769.64,41410,1245.23,41422,6762.01,41424,8433.5,41418,1649.6,41422,212.6036,41424,367.69,41425,7114.14,41423,306.53,41424,364.14,41421,924.72009,41271,1036.78
41424,2799.2,41409,1252.85,41418,6654.34,41423,8441.7,41417,1650.51,41418,212.6374,41423,366.25,41424,7138.33,41422,310.15,41423,362.89,41418,916.37909,41270,1048.46
41423,2786.54,41408,1230.8,41417,6696.79,41422,8511.3,41416,1655.35,41417,212.9737,41422,371.5,41423,7159.69,41421,305.27,41422,367.3,41417,919.51172,41264,1057.35
41422,2835.87,41407,1232.2,41416,6840.27,41421,8363.6,41415,1669.16,41416,213.5234,41421,366.56,41422,7189.48,41418,305.54,41421,362.03,41416,938.55682,41263,1067.39
41421,2795,41404,1210.6,41415,6803.87,41418,8264.6,41414,1666.29,41415,213.2768,41418,364.63,41421,7183.93,41417,307.12,41418,359.18,41415,934.45959,41262,1061.36
41418,2764.29,41403,1181.83,41414,6755.63,41417,8343.6,41411,1667.47,41414,213.7345,41417,365.22,41418,7179.87,41416,311.34,41417,360.62,41411,929.5451,41261,1069.53
41417,2776.78,41402,1194.34,41411,6723.06,41416,8462.4,41410,1650.47,41411,213.9481,41416,372.11,41417,7184.75,41415,312.47,41416,367.44,41410,925.89038,41260,1057.44
41416,2835.01,41401,1188.57,41410,6687.8,41415,8464.5,41409,1658.78,41410,213.5287,41415,370.44,41416,7200.12,41414,312.64,41415,366.31,41409,925.97882,41257,1045
41415,2821.65,41396,1153.28,41409,6693.55,41414,8515.2,41408,1650.34,41409,212.8944,41414,369.97,41415,7194.7,41411,311.95,41414,366.26,41408,920.20551,41256,1049.31
41414,2824.5,41395,1158.37,41408,6686.06,41411,8582.4,41407,1633.77,41408,213.1015,41411,368.08,41414,7193.22,41410,308.81,41411,364.17,41407,914.52417,41255,1055.83
41411,2817.99,41394,1165.13,41407,6631.76,41410,8542.3,41404,1633.7,41407,213.2607,41410,365.37,41411,7183.68,41409,310.09,41410,362.2,41404,916.25879,41254,1055.31
41410,2806.7,41390,1161.19,41404,6624.98,41409,8582.5,41403,1626.67,41404,213.23,41409,366.07,41410,7180.31,41408,307.37,41409,362.73,41402,913.03247,41253,1048.53
41409,2809.58,41389,1172.78,41403,6592.74,41408,8474.6,41402,1632.69,41403,214.0529,41408,363.69,41409,7175.53,41407,305.22,41408,361.25,41401,907.03339,41250,1048.18
41408,2795.63,41388,1164.35,41402,6583.48,41407,8457.8,41401,1625.96,41402,214.1972,41407,361.12,41408,7178.14,41404,306.77,41407,359.61,41400,901.5058,41249,1045.31
41407,2777.39,41387,1143.78,41401,6557.3,41404,8544.5,41400,1617.5,41401,213.8975,41404,361.17,41407,7191.02,41403,303.73,41404,359.98,41397,902.43768,41248,1041.73
41404,2785.24,41386,1145.6,41397,6521.46,41403,8572.7,41397,1614.42,41397,214.1927,41403,359.15,41404,7188.23,41402,303.29,41403,358.35,41396,888.8631,41247,1039.87
41403,2773.16,41383,1126.67,41396,6460.71,41402,8597,41396,1597.59,41396,214.6783,41402,357.93,41403,7177.4,41401,301.69,41402,358.58,41394,886.18811,41246,1041.65
41402,2784.62,41382,1122.97,41395,6451.29,41401,8544,41395,1582.7,41395,213.9818,41401,356.48,41402,7179.37,41400,301.55,41401,357.63,41393,887.80591,41243,1046.59
41401,2769.08,41381,1136.01,41394,6430.12,41400,8503.8,41394,1597.57,41394,213.9623,41400,357.44,41401,7168.64,41397,299.96,41400,356.26,41390,877.18372,41242,1046.49
41400,2750.52,41380,1119.2,41393,6458.02,41397,8544.8,41393,1593.61,41393,213.7556,41397,357.61,41400,7148.8,41396,297.57,41397,356.48,41389,882.88428,41241,1041.93
41397,2763.68,41379,1133.99,41390,6426.42,41396,8406.4,41390,1582.24,41390,213.2286,41396,354.8,41397,7143.63,41395,293.91,41396,351.39,41388,879.63678,41240,1033.63
41396,2718.9,41376,1148.57,41389,6442.59,41394,8419,41389,1585.16,41389,213.0363,41394,351.39,41396,7130.05,41394,295.91,41394,350.87,41387,870.06042,41239,1038.92
41395,2711.74,41375,1147.29,41388,6431.76,41393,8450.9,41388,1578.79,41388,213.1486,41393,354.15,41395,7130.09,41393,296.67,41393,350.84,41386,845.40527,41234,1027.81
41394,2712,41374,1121.04,41387,6406.12,41390,8297,41387,1578.78,41387,213.1661,41390,351.5,41394,7125.57,41390,296.34,41390,346.32,41383,842.01727,41233,1025.51
41393,2717.38,41373,1102.04,41386,6280.62,41389,8365.1,41386,1562.5,41386,212.6888,41389,354.04,41393,7116.11,41389,297.52,41389,348.85,41382,835.82178,41232,1024.76
41390,2683.43,41372,1101.74,41383,6286.59,41388,8389.3,41383,1555.25,41383,212.0108,41388,352.94,41390,7097.92,41388,295.36,41388,345.85,41381,836.6604,41229,1004.86
41389,2704.41,41369,1066.24,41382,6243.67,41387,8289.3,41382,1541.61,41382,212.0388,41387,349.15,41389,7095.19,41387,292.87,41387,341.69,41380,852.74139,41228,1000.05
41388,2702.05,41368,1037.76,41381,6244.21,41386,8027.7,41381,1552.01,41381,211.9949,41386,340.07,41388,7085.89,41386,289.88,41386,333,41379,857.75488,41227,1001.53
41387,2662.88,41367,1010.43,41380,6304.58,41383,7915.5,41380,1574.57,41380,211.6072,41383,341.68,41387,7071.55,41383,287.9,41383,330.54,41376,862.89258,41226,1015.36
41386,2583.62,41366,991.34,41379,6343.6,41382,7812.5,41379,1552.36,41379,211.6781,41382,340.72,41386,7061.23,41382,285.67,41382,327.77,41375,874.02753,41225,1019.16
41383,2575.16,41365,1000.57,41376,6384.39,41381,7803,41376,1588.85,41376,211.5242,41381,340.84,41383,7053.76,41381,287.96,41381,329.3,41374,868.09198,41222,1018.97
41382,2555.5,41362,1034.71,41375,6416.14,41380,7948.7,41375,1593.37,41375,211.2601,41380,345.79,41382,7051.75,41380,290.5,41380,335.56,41373,847.94153,41221,1017.4
41381,2553.49,41361,1036.78,41374,6387.37,41379,8014.1,41374,1587.73,41374,211.2852,41379,346.3,41381,7106.41,41379,288.82,41379,338.75,41372,846.1543,41220,1030.04
41380,2609.3,41360,1046.47,41373,6313.21,41376,8040.4,41373,1568.61,41373,211.5033,41376,348.65,41380,7049.48,41376,294.44,41376,341.3,41369,845.12091,41219,1054.44
41379,2624.71,41359,1044.42,41372,6276.94,41375,8159.5,41372,1563.07,41372,211.7474,41375,351.28,41379,7048.55,41375,295.28,41375,344.56,41368,858.03851,41218,1046.25
41376,2633.47,41358,1047.29,41369,6249.78,41374,8136.4,41369,1553.28,41369,211.5346,41374,348.53,41376,7049.36,41374,294.52,41374,342.42,41367,864.56519,41215,1043.94
41375,2674.33,41355,1038.57,41368,6344.12,41373,7872.5,41368,1559.98,41368,210.5884,41373,341.35,41375,7046.92,41373,290.88,41373,333.74,41366,874.96448,41213,1042.4
41374,2661.62,41354,1058.1,41367,6420.28,41372,7787.1,41367,1553.69,41367,210.0771,41372,340.91,41374,7037.87,41372,289.9,41372,329.95,41361,859.9917,41208,1042.17
41373,2595.13,41352,1045.89,41366,6490.66,41369,7798.4,41366,1570.25,41366,209.7987,41369,340.71,41373,7015.73,41369,288.96,41369,330.52,41360,856.28247,41207,1042.94
41372,2589.25,41351,1028.34,41361,6411.74,41368,7847.9,41365,1562.17,41361,209.6098,41368,346.53,41372,7002.58,41368,293.5,41368,333.54,41359,865.13422,41206,1039.83
41369,2585.28,41348,1051.65,41360,6387.56,41367,7904.3,41361,1569.19,41360,209.5854,41367,349.6,41369,6993.43,41367,293.56,41367,333.96,41358,866.00873,41205,1043.09
41368,2621.43,41347,1038.17,41359,6399.37,41366,8050.4,41360,1562.85,41359,209.7152,41366,352.5,41368,6991.77,41366,296.76,41366,339.46,41355,874.88812,41204,1058.78
41367,2639.01,41346,1031.42,41358,6378.38,41361,7920,41359,1563.77,41358,209.8364,41361,348.1,41367,6982.53,41361,297.43,41361,334.96,41354,876.20691,41201,1058.2
