SX5E Index,,TPX Index,,UKX Index,,IBEX Index,,SPX Index,,LBEATREU Index,,AEX Index,,INGEHIH LX Equity,,INGGOPC LX Equity,,INGEHYC LX Equity,,SGEURSE LX Equity,,SGIDXIW LX Equity,
41737,3177.66,41736,1196.84,41733,6695.55,41736,10606.2,41737,1851.96,41733,220.4254,41736,404.04,41737,7762.45,41736,315.96,41736,440.97,41736,1087.05005,41598,1327.23
41736,3185.97,41733,1215.89,41732,6649.14,41733,10677.2,41736,1845.04,41732,219.6939,41733,407.46,41736,7762.77,41733,320.28,41733,445.09,41733,1100.95605,41597,1332.06
41733,3230.33,41732,1216.77,41731,6659.04,41732,10584.1,41733,1865.09,41731,219.3952,41732,405.69,41733,7761.9,41732,321.84,41732,441.45,41732,1093.65295,41596,1334.64
41732,3206.76,41731,1211.36,41730,6652.61,41731,10435.8,41732,1888.77,41730,219.7002,41731,406.14,41732,7752.89,41731,321.73,41731,439.12,41731,1088.95996,41593,1339.57
41731,3187.45,41730,1204.25,41729,6598.37,41730,10463.1,41731,1890.9,41729,219.8381,41730,405.62,41731,7748.53,41730,319.4,41730,438.7,41730,1088.99194,41592,1334.06
41730,3186.34,41729,1202.89,41726,6615.58,41729,10340.5,41730,1885.52,41726,219.8807,41729,403.21,41730,7739.63,41729,317.33,41729,433.8,41729,1079.59497,41591,1327.54
41729,3161.6,41726,1186.52,41725,6588.32,41726,10328.9,41729,1872.34,41725,220.0289,41726,401.79,41729,7732.23,41726,315.66,41726,432.28,41726,1079.547,41590,1316.62
41726,3172.43,41725,1176.9,41724,6605.3,41725,10199,41726,1857.62,41724,219.597,41725,398.59,41726,7722.91,41725,313.79,41725,426.58,41725,1067.88599,41589,1319.64
41725,3133.75,41724,1172.07,41723,6604.89,41724,10140.8,41725,1849.04,41723,219.3063,41724,396.89,41725,7716.39,41724,312.4,41724,427.24,41724,1067.09204,41586,1318.71
41724,3130.17,41723,1163.7,41722,6520.39,41723,9990.5,41724,1852.56,41722,219.1013,41723,393.13,41724,7713.47,41723,312.85,41723,423.19,41723,1055.35095,41585,1301.31
41723,3096.64,41722,1163.04,41719,6557.17,41722,9913.1,41723,1865.62,41719,218.7506,41722,388.23,41723,7708.88,41722,311.59,41722,419.09,41722,1041.61804,41584,1318.47
41722,3052.91,41718,1145.97,41718,6542.44,41719,10053.1,41722,1857.44,41718,218.5162,41719,391.36,41722,7714.01,41719,313.13,41719,424.78,41719,1055.80701,41583,1312.39
41719,3096.49,41717,1164.33,41717,6573.13,41718,10079.9,41719,1866.52,41717,218.9966,41718,390.82,41719,7710.49,41718,312.79,41718,424.55,41718,1054.87903,41582,1316.07
41718,3088.9,41716,1165.94,41716,6605.28,41717,10093.3,41718,1872.01,41716,219.2659,41717,388.88,41718,7706.8,41717,311.49,41717,423.83,41717,1052.43896,41578,1307.56
41717,3076.36,41715,1154.93,41715,6568.35,41716,10051.4,41717,1860.77,41715,219.1772,41716,389.37,41717,7706.99,41716,312.62,41716,423.55,41716,1052.44202,41577,1312.66
41716,3073.75,41712,1164.7,41712,6527.89,41715,9975,41716,1872.25,41712,219.1795,41715,386.92,41716,7701.78,41715,310.68,41715,418.45,41715,1043.625,41576,1318.97
41715,3049.19,41711,1203.46,41711,6553.78,41712,9812,41715,1858.83,41711,219.1825,41712,382.65,41715,7691.51,41712,308.96,41712,412.57,41712,1028.77502,41575,1311.66
41712,3004.64,41710,1206.94,41710,6620.9,41711,9950.3,41712,1841.13,41710,218.7979,41711,386.06,41712,7681.66,41711,310.11,41711,416.83,41711,1034.85596,41572,1309.83
41711,3019.54,41709,1233.21,41709,6685.52,41710,10070.4,41711,1846.34,41709,218.5695,41710,391.41,41711,7697.66,41710,313.42,41710,422.35,41710,1049.12097,41571,1304.17
41710,3065.46,41708,1227.61,41708,6689.45,41709,10163.3,41710,1868.2,41708,218.7406,41709,394.29,41710,7698.92,41709,316,41709,425.71,41709,1059.73206,41570,1299.96
41709,3092.55,41705,1236.97,41705,6712.67,41708,10194.6,41709,1867.63,41705,218.441,41708,393.4,41709,7709.75,41708,316.75,41708,426.5,41708,1059.56299,41569,1306.14
41708,3092.79,41704,1228.36,41704,6788.49,41705,10164.2,41708,1877.17,41704,218.2873,41705,396.28,41708,7710.29,41705,318.04,41705,426.94,41705,1061.88196,41568,1298.85
41705,3095.31,41703,1212.9,41703,6775.42,41704,10304,41705,1878.04,41703,218.9514,41704,400.06,41705,7705.43,41704,319.58,41704,431.81,41704,1076.64099,41565,1298.66
41704,3144.53,41702,1204.11,41702,6823.77,41703,10215.2,41704,1877.03,41702,218.794,41703,398.62,41704,7700.47,41703,320.1,41703,429.93,41703,1071.63904,41564,1290.24
41703,3135.97,41701,1196.76,41701,6708.35,41702,10126.7,41703,1873.81,41701,218.7448,41702,398.73,41703,7690.82,41702,319.72,41702,428.11,41702,1070.67505,41563,1282.03
41702,3136.33,41698,1211.66,41698,6809.7,41701,9878.7,41702,1873.91,41698,218.2436,41701,388.19,41702,7682.18,41701,314.15,41701,419.29,41701,1044.90906,41562,1264.48
41701,3053.99,41697,1217.35,41697,6810.27,41698,10114.2,41701,1845.73,41697,218.7249,41698,398.54,41701,7671.68,41698,316.84,41698,430.19,41698,1075.41895,41561,1273.34
41698,3149.23,41696,1225.35,41696,6799.15,41697,10164.1,41698,1859.45,41696,218.1873,41697,398.28,41698,7672.69,41697,319.57,41697,430.23,41697,1070.34399,41558,1268.25
41697,3134.94,41695,1233.66,41695,6830.5,41696,10224.3,41697,1854.29,41695,217.7387,41696,398.64,41697,7660.96,41696,318.05,41696,430.31,41696,1073.64001,41557,1260.22
41696,3148.19,41694,1219.07,41694,6865.86,41695,10242.5,41696,1845.16,41694,217.4659,41695,400.77,41696,7656.82,41695,316.77,41695,432,41695,1077.427,41556,1233.15
41695,3157.48,41691,1222.31,41691,6838.06,41694,10193.1,41695,1845.12,41691,217.5471,41694,401.76,41695,7651.33,41694,317.93,41694,431.73,41694,1077.02795,41555,1232.65
41694,3157.31,41690,1194.56,41690,6812.99,41691,10071,41694,1847.61,41690,217.1687,41691,400.36,41694,7643.16,41691,316.51,41691,428.65,41691,1069.46802,41554,1247.58
41691,3131.67,41689,1218.52,41689,6796.71,41690,10062.2,41691,1836.25,41689,217.6154,41690,398.76,41691,7631.91,41690,316.55,41690,426.34,41690,1065.36499,41551,1258.43
41690,3121.59,41688,1224,41688,6796.43,41689,10053.8,41690,1839.78,41688,217.592,41689,401.54,41690,7619.54,41689,314.78,41689,426.35,41689,1066.224,41550,1249.43
41689,3120.8,41687,1192.05,41687,6736,41688,10042.7,41689,1828.75,41687,217.3457,41688,401.62,41689,7628.18,41688,315.87,41688,425.98,41688,1065.48206,41549,1260.67
41688,3117.44,41684,1183.82,41684,6663.62,41687,10118.6,41688,1840.76,41684,217.1799,41687,401.24,41688,7623.85,41684,314.01,41687,426.33,41687,1066.54395,41548,1261.62
41687,3118.91,41683,1199.74,41683,6659.42,41684,10132.8,41684,1838.63,41683,217.1611,41684,398.95,41687,7619.55,41683,313.33,41684,426.13,41684,1065.11902,41547,1251.45
41684,3119.06,41682,1219.6,41682,6675.03,41683,10098.9,41683,1829.83,41682,216.8027,41683,397,41684,7610.44,41682,313.83,41683,423.86,41683,1058.22998,41544,1259.13
41683,3097.95,41680,1204.28,41681,6672.66,41682,10080.8,41682,1819.26,41681,217.1088,41682,397.42,41683,7606.75,41681,311.25,41682,424.04,41682,1056.73096,41543,1264.12
41682,3094.89,41677,1189.14,41680,6591.55,41681,10091.2,41681,1819.75,41680,217.1063,41681,394.96,41682,7607.22,41680,308.15,41681,421,41681,1050.67896,41542,1259.59
41681,3077.08,41676,1162.37,41677,6571.68,41680,9982.7,41680,1799.84,41677,217.231,41680,389.64,41681,7603.43,41677,307.78,41680,416.46,41680,1036.40698,41541,1263.07
41680,3032.53,41675,1162.64,41676,6558.28,41677,10072.4,41677,1797.02,41676,216.7338,41677,389.54,41680,7595.42,41676,304.49,41677,417.23,41677,1036.72095,41540,1266.19
41677,3038.49,41674,1139.27,41675,6457.89,41676,9964.6,41676,1773.43,41675,217.1783,41676,388.41,41677,7581.51,41675,302.84,41676,413.9,41676,1029.177,41537,1272.23
41676,3010.79,41673,1196.32,41674,6449.27,41675,9775,41675,1751.64,41674,217.0441,41675,382.65,41676,7573.2,41674,302.84,41675,407.49,41675,1011.50201,41536,1281.49
41675,2962.51,41670,1220.64,41673,6465.66,41674,9754.3,41674,1755.2,41673,217.0875,41674,382.98,41675,7564.26,41673,301.98,41674,406.28,41674,1010.43201,41535,1284.22
41674,2962.49,41669,1224.09,41670,6510.44,41673,9725.4,41673,1741.89,41670,216.9847,41673,383.63,41674,7555.12,41670,307.66,41673,405.82,41673,1010.41803,41534,1268.81
41673,2963.96,41668,1256.18,41669,6538.45,41670,9920.2,41670,1782.59,41669,216.3567,41670,386.85,41673,7561.76,41669,306.89,41670,412.54,41670,1024.71204,41533,1263.47
41670,3013.96,41667,1224.31,41668,6544.28,41669,9964.5,41669,1794.19,41668,216.0641,41669,389.61,41670,7560.41,41668,304.9,41669,414.92,41669,1029.75305,41530,1256.44
41669,3027.3,41666,1229.23,41667,6572.33,41668,9896.2,41668,1774.2,41667,215.8683,41668,389.33,41669,7565.73,41667,305.82,41668,413.63,41668,1026.59802,41529,1252.99
41668,3011.45,41663,1264.6,41666,6550.66,41667,9879.1,41667,1792.5,41666,215.711,41667,392.23,41668,7575.05,41666,304.64,41667,415.5,41667,1032.65796,41528,1256.97
41667,3038.6,41662,1287.52,41663,6663.74,41666,9758.4,41666,1781.56,41663,215.7121,41666,390.79,41667,7574.17,41663,308.89,41666,411.59,41666,1023.80298,41527,1253.04
41666,3014.62,41661,1299.63,41662,6773.28,41663,9868.9,41663,1790.29,41662,215.4871,41663,393.85,41666,7568.16,41662,315.95,41663,414.02,41663,1030.16504,41526,1243.92
41663,3028.2,41660,1295.95,41661,6826.33,41662,10241.2,41662,1828.46,41661,215.3722,41662,403.89,41663,7581.55,41661,320.59,41662,424.79,41662,1057.93506,41523,1231.82
41662,3117.08,41659,1293.86,41660,6834.26,41661,10279.7,41661,1844.86,41660,215.5291,41661,407.45,41662,7604.98,41660,319.75,41661,427.19,41661,1067.229,41522,1231.8
41661,3151.27,41656,1297.39,41659,6836.73,41660,10357.4,41660,1843.8,41659,215.6124,41660,405.19,41661,7608.99,41659,317.65,41660,427.47,41660,1068.11902,41521,1230.2
41660,3153.08,41655,1294.39,41656,6829.3,41659,10454.1,41656,1838.7,41656,215.3357,41659,408,41660,7610.83,41656,318.08,41659,429.24,41659,1069.13306,41520,1220.16
41659,3153.17,41654,1294.52,41655,6815.42,41656,10465.7,41655,1845.89,41655,215.0064,41656,408.26,41659,7605.9,41655,317.61,41656,430.5,41656,1070.31299,41516,1215.06
41656,3154.1,41653,1269.08,41654,6819.86,41655,10455.5,41654,1848.38,41654,214.5798,41655,407.59,41656,7599.04,41654,318.01,41655,429.02,41655,1068.37305,41515,1218.93
41655,3150.2,41649,1298.48,41653,6766.86,41654,10525,41653,1838.88,41653,214.6395,41654,408.62,41655,7597.56,41653,314.1,41654,431.12,41654,1072.25903,41514,1216.58
41654,3168.76,41648,1296.75,41652,6757.15,41653,10382,41652,1819.2,41652,214.5583,41653,406.57,41654,7589.25,41652,313.07,41653,425.28,41653,1057.13794,41513,1213.36
41653,3119.53,41647,1306.23,41649,6739.94,41652,10365.5,41649,1842.37,41649,214.2614,41652,404.93,41653,7584.16,41649,312.95,41652,424.45,41652,1055.68994,41512,1232.83
41652,3111.94,41646,1283.25,41648,6691.34,41649,10290.6,41648,1838.13,41648,213.9238,41649,403.95,41652,7588.73,41648,313.07,41649,422.38,41649,1051.03894,41509,1237.97
41649,3104.15,41645,1292.15,41647,6721.78,41648,10234.2,41647,1837.49,41647,214.0017,41648,401.97,41649,7582.93,41647,314.58,41648,421.17,41648,1046.48596,41508,1232.81
41648,3090.26,41638,1302.29,41646,6755.45,41647,10253.6,41646,1837.88,41646,214.1564,41647,403.86,41648,7568.37,41646,313.06,41647,422.19,41647,1051.44897,41507,1222.3
41647,3110.66,41635,1290.07,41645,6730.73,41646,10178.7,41645,1826.77,41645,213.7947,41646,402.97,41647,7566.04,41645,310.67,41646,420.3,41646,1049.69495,41506,1229.63
41646,3110.96,41634,1279.34,41642,6730.67,41645,9888.5,41642,1831.37,41642,213.5205,41645,399.85,41646,7562.15,41642,313.09,41645,415.09,41645,1038.13696,41505,1224.69
