Maturity,Moneyness,Price
365.0,0.833333333,1.02166062710291
365.0,0.869565217,2.3381798073740603
365.0,0.9090909090000001,5.1119174036070305
365.0,0.9523809520000001,10.2380803815161
365.0,1.0,18.668587222064303
365.0,1.052631579,30.3644289757539
365.0,1.111111111,44.6238139238544
365.0,1.176470588,60.6243498826597
365.0,1.25,77.95274267116771
547.5,0.833333333,3.05225297501636
547.5,0.869565217,5.2833868999260805
547.5,0.9090909090000001,8.98027593796186
547.5,0.9523809520000001,14.8693862825183
547.5,1.0,23.4652310005347
547.5,1.052631579,34.669766122979695
547.5,1.111111111,48.020072149441205
547.5,1.176470588,63.03584613213679
547.5,1.25,79.19829322788429
730.0,0.833333333,5.11685824268821
730.0,0.869565217,7.92349064366263
730.0,0.9090909090000001,12.113632092122
730.0,0.9523809520000001,18.1902016632546
730.0,1.0,26.416582255525302
730.0,1.052631579,36.7559077295698
730.0,1.111111111,48.9842644919874
730.0,1.176470588,62.791581172087405
730.0,1.25,77.8065026876191
1095.0,0.833333333,9.77579354148839
1095.0,0.869565217,13.495855570111
1095.0,0.9090909090000001,18.4315016379722
1095.0,0.9523809520000001,24.794222006734902
1095.0,1.0,32.690040515584606
1095.0,1.052631579,42.144569292357396
1095.0,1.111111111,53.0832338785363
1095.0,1.176470588,65.4272855982107
1095.0,1.25,78.95194159483171
1825.0,0.833333333,25.322362895741
1825.0,0.869565217,29.8075662162709
1825.0,0.9090909090000001,35.095002007241995
1825.0,0.9523809520000001,41.282838735100796
1825.0,1.0,48.4244365244623
1825.0,1.052631579,56.5551190279836
1825.0,1.111111111,65.6721900633998
1825.0,1.176470588,75.7900541841138
1825.0,1.25,86.81974013325001
2555.0,0.833333333,37.9081186298208
2555.0,0.869565217,42.463391373822496
2555.0,0.9090909090000001,47.6300324384138
2555.0,0.9523809520000001,53.47310986535871
2555.0,1.0,60.027960109837295
2555.0,1.052631579,67.3233615376807
2555.0,1.111111111,75.3661140328509
2555.0,1.176470588,84.1830584140312
2555.0,1.25,93.7241944011544
3650.0,0.833333333,53.44445901994371
3650.0,0.869565217,57.8383890376034
3650.0,0.9090909090000001,62.6837193226003
3650.0,0.9523809520000001,68.0228306601358
3650.0,1.0,73.8779177873082
3650.0,1.052631579,80.2694060969727
3650.0,1.111111111,87.2048141476137
3650.0,1.176470588,94.70985344439121
3650.0,1.25,102.755901967778
5475.0,0.833333333,70.0423227967934
5475.0,0.869565217,73.8704130939974
5475.0,0.9090909090000001,78.0014129387057
5475.0,0.9523809520000001,82.4609778593146
5475.0,1.0,87.26199499313441
5475.0,1.052631579,92.4174693433879
5475.0,1.111111111,97.9332393792349
5475.0,1.176470588,103.82883817605301
