H,IMDB,20140630,R,20140630194518
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,12410,,AUD,,,,,,,.0424295330,,
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,12775,,AUD,,,,,,,.0424020269,,
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,13140,,AUD,,,,,,,.0423747943,,
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,13505,,AUD,,,,,,,.0423479823,,
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,13870,,AUD,,,,,,,.0423217000,,
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,14235,,AUD,,,,,,,.0422960260,,
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,14600,,AUD,,,,,,,.0422710148,,
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,14965,,AUD,,,,,,,.0422467022,,
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,15330,,AUD,,,,,,,.0422231090,,
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,15695,,AUD,,,,,,,.0422002447,,
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,16060,,AUD,,,,,,,.0421781096,,
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,16425,,AUD,,,,,,,.0421566973,,
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,16790,,AUD,,,,,,,.0421359961,,
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,17155,,AUD,,,,,,,.0421159908,,
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,17520,,AUD,,,,,,,.0420966628,,
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,17885,,AUD,,,,,,,.0420779922,,
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,18250,,AUD,,,,,,,.0420599574,,
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,18615,,AUD,,,,,,,.0420425361,,
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,18980,,AUD,,,,,,,.0420257059,,
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,19345,,AUD,,,,,,,.0420094438,,
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,19710,,AUD,,,,,,,.0419937278,,
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,20075,,AUD,,,,,,,.0419785354,,
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,20440,,AUD,,,,,,,.0419638454,,
B,30/06/2014,Curve,Interest,Swap Zero Curve,IR_AUD_SWAP,Australian Dollar swap zero,,20805,,AUD,,,,,,,.0419496367,,
